"Bacteroides"	"Prevotella"	"Unclassified_Lachnospiraceae"	"Faecalibacterium"	"Lachnospiracea_incertae_sedis"	"Parabacteroides"	"Alistipes"	"Blautia"	"Ruminococcus"	"Unclassified_Clostridiales"	"Lactobacillus"	"Unclassified_Ruminococcaceae"	"Roseburia"	"Clostridium_XI"	"Enterococcus"	"Erysipelotrichaceae_incertae_sedis"	"Megamonas"	"Sutterella"	"Escherichia_Shigella"	"Unclassified_Bacteria"	"Clostridium_IV"	"Clostridium_XlVa"	"Unclassified_Firmicutes"	"Haemophilus"	"Bifidobacterium"	"Dorea"	"Unclassified_Bacteroidales"	"Clostridium_XVIII"	"Akkermansia"	"Veillonella"	"Streptococcus"	"Clostridium_sensu_stricto"	"Unclassified_Clostridiaceae_1"	"Klebsiella"	"Gemmiger"	"Barnesiella"	"Unclassified_Enterobacteriaceae"	"Phascolarctobacterium"	"Oscillibacter"	"Turicibacter"	"Flavonifractor"	"Unclassified_Lactobacillales"	"Odoribacter"	"Unclassified_Burkholderiales"	"Coprococcus"	"Fusobacterium"	"Unclassified_Prevotellaceae"	"Parasutterella"	"Butyricicoccus"	"Unclassified_Alphaproteobacteria"	"Anaerovorax"	"Catenibacterium"	"Coprobacillus"	"Dialister"	"Paraprevotella"	"Cellulosilyticum"	"Collinsella"	"Acidaminococcus"	"Unclassified_Bacteroidetes"	"Clostridium_XlVb"	"Unclassified_Proteobacteria"	"Holdemania"	"Unclassified_Bacilli"	"Unclassified_Fusobacteriaceae"	"Weissella"	"Unclassified_Acidaminococcaceae"	"Campylobacter"	"Eggerthella"	"Unclassified_Veillonellaceae"	"Pseudoflavonifractor"	"Unclassified_Bacillales"	"Megasphaera"	"Porphyromonas"	"Brachyspira"	"Unclassified_Erysipelotrichaceae"	"Butyricimonas"	"Anaerobacter"	"TM7_genus_incertae_sedis"	"Bilophila"	"Acetobacterium"	"Unclassified_Selenomonadales"	"Subdoligranulum"	"Unclassified_Actinomycetales"	"Unclassified_Desulfovibrionaceae"	"Soehngenia"	"Unclassified_Porphyromonadaceae"	"Unclassified_Clostridia"	"Clostridium_III"	"Enterobacter"	"Rothia"	"Anaerotruncus"	"Lactococcus"	"Gemella"	"Moraxella"	"Desulfovibrio"	"Peptoniphilus"	"Eubacterium"	"Hespellia"	"Granulicatella"	"Anaerostipes"	"Pseudomonas"	"Finegoldia"	"Allisonella"	"Anaerococcus"	"Unclassified_Pasteurellaceae"	"Parvimonas"	"Corynebacterium"	"Staphylococcus"	"Anaerofustis"	"Victivallis"	"Cloacibacterium"	"Unclassified_Desulfovibrionales"	"Acidovorax"	"Howardella"	"Unclassified_Peptostreptococcaceae"	"Unclassified_Actinobacteria"	"Asaccharobacter"	"Pasteurella"	"Pseudobutyrivibrio"	"Unclassified_Gammaproteobacteria"	"Atopobium"	"Mogibacterium"	"Unclassified_Coriobacteriaceae"	"Abiotrophia"	"Unclassified_Pseudomonadaceae"	"Brevundimonas"	"Unclassified_Clostridiales_Incertae_Sedis_XI"	"Solobacterium"	"Unclassified_Betaproteobacteria"	"Succinivibrio"	"Rhizobium"	"Gordonibacter"	"Leuconostoc"	"Erysipelothrix"	"Unclassified_Corynebacteriaceae"	"Streptophyta"	"Porphyrobacter"	"Unclassified_Succinivibrionaceae"	"Clostridium_XIX"	"Scardovia"	"Unclassified_Flavobacteriales"	"Filifactor"	"Slackia"	"Murdochiella"	"Sphingopyxis"	"Unclassified_Rikenellaceae"	"Citrobacter"	"Sarcina"	"Catonella"	"Diaphorobacter"	"Unclassified_Phyllobacteriaceae"	"Aggregatibacter"	"Anaerofilum"	"Unclassified_Peptococcaceae_1"	"Acinetobacter"	"Syntrophococcus"
3894	2	314	33	38	351	31	23	7	48	0	23	23	17	10	45	744	0	32	6	11	3	80	11	3	5	3	13	0	9	62	0	0	0	4	2	52	20	1	0	13	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
480	5	228	776	117	1	0	86	4	19	0	34	202	36	1	5	0	0	0	3	0	8	17	15	0	13	1	1	0	4	2	0	0	2	28	0	0	0	3	0	13	0	0	0	1	0	0	32	6	0	0	0	0	7	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13891	4	177	25	11	1	4	67	2	42	10	17	43	0	1158	7	0	0	0	59	1	17	14	0	0	13	408	18	0	1	1	0	0	0	69	0	0	0	16	0	2	0	0	0	0	0	0	14	20	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1393	0	84	14	49	86	396	14	1203	52	0	74	6	20	1	5	0	1	0	61	120	9	9	0	20	20	5	3	1	0	10	0	0	0	0	0	0	0	14	0	5	0	0	0	1	0	0	5	0	0	0	0	2	1	0	0	0	0	1	2	0	23	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2670	0	329	130	166	10	692	99	88	209	0	742	77	140	0	10	0	0	11	28	151	23	13	0	2	79	6	20	0	0	16	23	8	1	40	0	4	4	36	42	8	0	0	0	0	0	0	6	1	0	9	0	0	0	0	0	1	0	0	0	0	2	0	0	0	4	2	1	0	1	2	0	0	0	0	0	0	2	14	0	1	4	1	0	0	0	5	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1519	0	290	33	76	49	21	26	1	88	0	33	44	4	0	8	130	0	1	18	90	15	1	2	3	36	2	13	0	1	8	0	0	0	0	0	0	24	6	1	4	0	0	27	1	0	0	0	2	0	0	0	0	0	0	0	14	1	2	1	2	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
674	0	1	0	0	2	0	0	0	1	0	0	1	0	1713	15	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1116	5304	109	218	61	243	26	60	9	23	0	30	7	24	0	0	0	285	1	30	7	17	7	9	3	37	17	14	0	2	5	17	5	0	21	4	1	1	1	4	0	0	6	0	2	0	12	2	1	0	0	0	0	10	4	0	0	0	2	0	4	0	0	0	0	0	0	0	1	2	0	2	0	0	1	5	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1630	0	304	336	355	1	3	37	176	55	20	124	210	20	0	0	0	0	0	30	135	27	55	10	0	5	3	4	0	33	5	5	1	0	0	0	0	0	0	1	7	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7603	4	1088	173	539	126	0	337	17	72	0	10	192	140	0	3	1952	0	6	245	29	23	22	23	23	454	9	8	0	11	1104	2	3	0	1	0	0	40	0	0	3	0	0	48	1	54	0	0	0	0	0	0	2	1	0	1	10	49	3	0	0	0	0	0	0	0	0	0	31	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	4	0	0	0	0	23	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
549	1	249	463	194	61	52	51	361	64	0	77	15	16	0	5	0	0	0	84	27	26	17	7	4	22	3	5	28	0	0	0	0	0	21	0	0	0	28	0	16	0	0	0	5	0	0	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	12	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2155	0	27	15	1	54	18	9	0	27	0	1	8	1	0	14	0	0	0	4	13	5	1	0	0	3	4	1	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2247	394	1379	56	1251	61	0	1078	54	151	9	14	124	1296	6	2	0	0	0	19	15	44	43	0	0	22	8	1	0	3	54	0	0	0	15	0	42	0	1	297	3	2	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	4	0	0	53	0	1	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	1	0	1	2	0	1	3	0	0	0	0	8	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
405	17	2029	120	381	1	0	455	0	99	0	4	375	215	9	16	0	0	0	143	1	43	22	1068	92	4	1	50	0	1	26	0	0	475	3	1	12	0	0	0	3	0	0	0	1	8	0	0	3	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	6	0	0	0	0	0	23	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1012	4	32	8	1	78	302	4	33	63	0	220	14	20	0	2	0	0	2	8	318	7	21	0	1	19	5	22	104	0	6	5	5	0	0	38	1	65	28	3	6	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
444	0	10	0	0	1295	0	0	0	2	0	1	0	113	1	26	0	0	444	2	0	0	0	1	0	0	16	4	0	7	1	1	0	2	0	0	159	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2748	9	116	100	62	7	235	32	47	50	0	35	39	6	1	0	0	511	2	60	80	96	45	1	3	41	4	4	0	0	0	0	0	0	5	5	0	0	16	0	1	0	4	1	3	0	0	0	2	0	0	0	0	0	0	0	9	0	0	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	318	786	20	0	0	64	0	190	1	78	401	78	0	565	0	2	0	2	1	42	66	2	0	1	0	195	0	11	1	27	134	14	0	0	4	0	0	0	52	0	0	0	4	0	0	0	1	0	0	0	0	0	0	33	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2132	5	696	361	444	80	252	145	227	116	0	564	126	47	0	12	0	166	0	45	77	133	162	4	0	30	24	50	0	0	7	56	5	0	57	15	0	0	27	0	5	0	123	0	159	0	0	0	2	1	1	0	0	7	0	0	6	1	1	3	0	0	0	0	1	0	0	1	3	0	1	0	0	0	3	9	0	1	6	0	0	0	0	23	0	15	0	0	0	1	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
19127	2	22	39	10	5	0	0	11	0	0	25	7	8	68	4	0	0	0	4	5	2	0	0	1	2	26	1	0	0	1	37	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6746	6710	187	78	52	331	1295	67	27	51	0	36	56	8	2	16	0	211	0	69	37	14	5	7	1	65	83	7	0	0	1	1	0	0	11	3	0	5	17	0	2	0	158	0	1	2	52	6	1	0	4	0	0	0	1	0	6	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	0	2	0	1	5	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0
7468	3	533	52	633	1	236	41	50	70	0	10	65	1	0	1	306	900	0	12	0	159	9	1	2	4	6	15	4	1	5	6	9	0	0	96	0	0	5	0	10	0	65	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	12	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
