"feature","DietStatus","mean","sd","median","incidence"
"N_0","after.diet",26.3496875,10.3849657708873,28.19125,1
"N_0","before.diet",31.3204411764706,9.05901326180581,31.4625,1
"N_0.25","after.diet",15.0336980251895,7.08246794931218,15.2486541103128,1
"N_0.25","before.diet",17.6630022125907,7.5754100201731,17.5225087897236,1
"N_0.5","after.diet",8.93955782150898,4.934442336195,9.06996030476266,1
"N_0.5","before.diet",10.1508415093302,5.90341980123326,8.86292920853808,1
"N_1","after.diet",4.44771080519341,2.81893184409775,3.84246283713427,1
"N_1","before.diet",4.70188184486835,3.56347813099535,3.17936033807779,1
"N_2","after.diet",2.73183354425786,1.68744391831265,2.03413821079992,1
"N_2","before.diet",2.72745315904543,2.08649197746868,1.66104655546836,1
"N_4","after.diet",2.20303228948256,1.25976237249202,1.64674449573486,1
"N_4","before.diet",2.14269786754017,1.45040389698997,1.41095579694983,1
"N_8","after.diet",1.98929908487289,1.03176380014593,1.53438862318088,1
"N_8","before.diet",1.92175588734937,1.14363763668989,1.34325211951766,1
"N_Inf","after.diet",1.80738648220379,0.811489224733425,1.4543938192151,1
"N_Inf","before.diet",1.74819250918124,0.884112764724133,1.29460423985269,1
