".record.id","Sample.type","visit","feature","Abundance"
"SM1","patient",1,"Bacteroides.Otu0001",0.0332496320027708
"SM10","patient",3,"Bacteroides.Otu0001",0
"SM100","patient",4,"Bacteroides.Otu0001",7.69171602184447e-05
"SM11","patient",2,"Bacteroides.Otu0001",0.227999690952639
"SM12","patient",1,"Bacteroides.Otu0001",0.236278328611898
"SM13","patient",1,"Bacteroides.Otu0001",0.0214285714285714
"SM14","patient",1,"Bacteroides.Otu0001",0
"SM15","control",1,"Bacteroides.Otu0001",0.0393461184629538
"SM16","patient",4,"Bacteroides.Otu0001",0.0383490412739682
"SM17","patient",1,"Bacteroides.Otu0001",0.173769135291684
"SM18","patient",2,"Bacteroides.Otu0001",0.001342957864697
"SM19","patient",2,"Bacteroides.Otu0001",0.036557149467839
"SM2","patient",1,"Bacteroides.Otu0001",0.00712913024610997
"SM20","control",1,"Bacteroides.Otu0001",0.0593607305936073
"SM21","patient",1,"Bacteroides.Otu0001",0.0906339330755003
"SM22","patient",1,"Bacteroides.Otu0001",0.180038387715931
"SM23","patient",2,"Bacteroides.Otu0001",0.220655329738698
"SM24","patient",1,"Bacteroides.Otu0001",0.0608360128617363
"SM25","patient",4,"Bacteroides.Otu0001",0
"SM26","control",1,"Bacteroides.Otu0001",0.0581908439051296
"SM28","control",1,"Bacteroides.Otu0001",0.141486810551559
"SM29","patient",3,"Bacteroides.Otu0001",0.101503759398496
"SM3","patient",2,"Bacteroides.Otu0001",0.0567937549496549
"SM30","patient",4,"Bacteroides.Otu0001",0.046148846278843
"SM31","control",2,"Bacteroides.Otu0001",0.0388349514563107
"SM33","patient",1,"Bacteroides.Otu0001",0
"SM35","control",1,"Bacteroides.Otu0001",0.0154580586496931
"SM36","patient",4,"Bacteroides.Otu0001",0
"SM37","control",1,"Bacteroides.Otu0001",0.0803529958197863
"SM38","patient",2,"Bacteroides.Otu0001",0.284862809577638
"SM39","patient",1,"Bacteroides.Otu0001",0.151217143204031
"SM40","patient",4,"Bacteroides.Otu0001",0.0176671908241606
"SM41","patient",1,"Bacteroides.Otu0001",0.0438003220611916
"SM42","patient",4,"Bacteroides.Otu0001",0.264086558468581
"SM43","patient",4,"Bacteroides.Otu0001",0.124077800134138
"SM44","control",1,"Bacteroides.Otu0001",0.000547795124623391
"SM45","patient",2,"Bacteroides.Otu0001",0
"SM48","control",1,"Bacteroides.Otu0001",0.062679288582903
"SM49","patient",1,"Bacteroides.Otu0001",0.117877600241182
"SM5","patient",3,"Bacteroides.Otu0001",0.27411425665367
"SM50","patient",3,"Bacteroides.Otu0001",0
"SM51","patient",4,"Bacteroides.Otu0001",0.282623243363819
"SM52","patient",1,"Bacteroides.Otu0001",0.058285216254494
"SM53","patient",2,"Bacteroides.Otu0001",0.236766398158803
"SM54","patient",3,"Bacteroides.Otu0001",0
"SM55","control",1,"Bacteroides.Otu0001",0.0279783393501805
"SM56","patient",2,"Bacteroides.Otu0001",0
"SM57","patient",1,"Bacteroides.Otu0001",0.103671706263499
"SM58","patient",2,"Bacteroides.Otu0001",0.000161969549724652
"SM59","patient",3,"Bacteroides.Otu0001",0.00374531835205993
