".record.id","DietStatus","feature","index"
"SM1","before.diet","NE_1",0.100969907244809
"SM11","after.diet","NE_1",0.0700112557538181
"SM12","before.diet","NE_1",0.0792991478355405
"SM13","before.diet","NE_1",0.182875144247837
"SM14","before.diet","NE_1",0.258201764572332
"SM17","before.diet","NE_1",0.0812505743334005
"SM19","after.diet","NE_1",0.231516015268829
"SM2","before.diet","NE_1",0.0818954043631345
"SM23","after.diet","NE_1",0.226640144989924
"SM3","after.diet","NE_1",0.262805054346006
"SM33","before.diet","NE_1",0.206985793799623
"SM38","after.diet","NE_1",0.0842365026304662
"SM41","before.diet","NE_1",0.172924717924688
"SM45","after.diet","NE_1",0.431868221554023
"SM49","before.diet","NE_1",0.061579955447672
"SM52","before.diet","NE_1",0.291556944230701
"SM53","after.diet","NE_1",0.169252912044242
"SM56","after.diet","NE_1",0.157466911660431
"SM57","before.diet","NE_1",0.0738284442872383
"SM58","after.diet","NE_1",0.154060759885147
"SM62","before.diet","NE_1",0.0740141886495695
"SM64","after.diet","NE_1",0.114148208463636
"SM77","after.diet","NE_1",0.129492712546453
"SM79","after.diet","NE_1",0.125022471667558
"SM8","before.diet","NE_1",0.0930707113154421
"SM83","before.diet","NE_1",0.0908747905669741
"SM84","before.diet","NE_1",0.16946463192399
"SM86","after.diet","NE_1",0.225728886812286
"SM87","before.diet","NE_1",0.216486787847973
"SM88","after.diet","NE_1",0.098655085958152
"SM9","after.diet","NE_1",0.159995281255673
"SM90","after.diet","NE_1",0.236705614153432
"SM96","before.diet","NE_1",0.138042922947035
