".record.id","feature","l2fc"
"MG1.patient","Bacteroides",5.43955599647652
"MG10.patient","Bacteroides",0.536994911261694
"MG13.patient","Bacteroides",7.55888384353844
"MG14.patient","Bacteroides",0.827372254475928
"MG16.patient","Bacteroides",0.423753685292105
"MG17.patient","Bacteroides",0.356717800715731
"MG19.patient","Bacteroides",1.10073994683178
"MG2.patient","Bacteroides",0.606194314858201
"MG21.patient","Bacteroides",-0.165719266342633
"MG22.patient","Bacteroides",0.0219177864816633
"MG23.patient","Bacteroides",1.75232433631332
"MG25.patient","Bacteroides",2.80161288054654
"MG3.patient","Bacteroides",0.0752005914337237
"MG4.patient","Bacteroides",0.14078823437995
"MG6.patient","Bacteroides",-0.0894082717242546
"MG8.patient","Bacteroides",0.499445745299123
"MG1.patient","Prevotella",-9.63050058615312
"MG10.patient","Prevotella",-36.4231079193057
"MG13.patient","Prevotella",-0.973208362032594
"MG14.patient","Prevotella",0.876058115256773
"MG16.patient","Prevotella",-35.020976656176
"MG17.patient","Prevotella",-5.73851648166936
"MG19.patient","Prevotella",33.9163128951757
"MG2.patient","Prevotella",-4.13347841738114
"MG21.patient","Prevotella",7.66364662510634
"MG22.patient","Prevotella",0
"MG23.patient","Prevotella",34.9590038718055
"MG25.patient","Prevotella",-1.81632173113825
"MG3.patient","Prevotella",1.2093981316894
"MG4.patient","Prevotella",-33.5319805823092
"MG6.patient","Prevotella",2.95416504652777
"MG8.patient","Prevotella",-33.2044929687831
"MG1.patient","Unclassified_Lachnospiraceae",-2.24785895992513
"MG10.patient","Unclassified_Lachnospiraceae",-4.45240110797611
"MG13.patient","Unclassified_Lachnospiraceae",-0.634837557346608
"MG14.patient","Unclassified_Lachnospiraceae",-0.157896942014346
"MG16.patient","Unclassified_Lachnospiraceae",-0.959805892395994
"MG17.patient","Unclassified_Lachnospiraceae",0.39291811619428
"MG19.patient","Unclassified_Lachnospiraceae",-2.79985354697454
"MG2.patient","Unclassified_Lachnospiraceae",0.157297679822055
"MG21.patient","Unclassified_Lachnospiraceae",-4.38108737178115
"MG22.patient","Unclassified_Lachnospiraceae",-1.11648914646319
"MG23.patient","Unclassified_Lachnospiraceae",-4.05681499567854
"MG25.patient","Unclassified_Lachnospiraceae",-41.542355494782
"MG3.patient","Unclassified_Lachnospiraceae",-2.04290434965381
"MG4.patient","Unclassified_Lachnospiraceae",0.567925577041522
"MG6.patient","Unclassified_Lachnospiraceae",-1.0575240631316
"MG8.patient","Unclassified_Lachnospiraceae",-3.33559796880253
"MG1.patient","Alistipes",-5.38925232472005
"MG10.patient","Alistipes",-41.1290153872029
"MG13.patient","Alistipes",9.79933419669324
"MG14.patient","Alistipes",-2.71271807774093
"MG16.patient","Alistipes",1.5736232346994
"MG17.patient","Alistipes",-40.0985609549554
"MG19.patient","Alistipes",-1.91901573776654
"MG2.patient","Alistipes",-39.9651840708628
"MG21.patient","Alistipes",-4.83726255297464
"MG22.patient","Alistipes",-0.803403103720932
"MG23.patient","Alistipes",40.5285614099333
"MG25.patient","Alistipes",0.949780743471945
"MG3.patient","Alistipes",41.2002018931408
"MG4.patient","Alistipes",38.4013779502647
"MG6.patient","Alistipes",1.08427072673885
"MG8.patient","Alistipes",-37.941450315328
"MG1.patient","Faecalibacterium",-6.09131695652189
"MG10.patient","Faecalibacterium",-0.150956810464678
"MG13.patient","Faecalibacterium",-0.461965857600707
"MG14.patient","Faecalibacterium",-1.86362261878912
"MG16.patient","Faecalibacterium",-1.35370309031118
"MG17.patient","Faecalibacterium",1.17776722348805
"MG19.patient","Faecalibacterium",1.25890421198819
"MG2.patient","Faecalibacterium",-0.60112671697848
"MG21.patient","Faecalibacterium",1.33745417923085
"MG22.patient","Faecalibacterium",0.345362936329949
"MG23.patient","Faecalibacterium",1.23739197643125
"MG25.patient","Faecalibacterium",0.424639571775543
"MG3.patient","Faecalibacterium",-2.00731245082746
"MG4.patient","Faecalibacterium",0.086857067220083
"MG6.patient","Faecalibacterium",-2.39262418882641
"MG8.patient","Faecalibacterium",-2.0065313668747
"MG1.patient","Ruminococcus",-6.38925231350214
"MG10.patient","Ruminococcus",-38.8077453291209
"MG13.patient","Ruminococcus",-1.30659069552751
"MG14.patient","Ruminococcus",-5.46858188330002
"MG16.patient","Ruminococcus",-1.24772391186232
"MG17.patient","Ruminococcus",0.394918845975486
"MG19.patient","Ruminococcus",-2.89142892367372
"MG2.patient","Ruminococcus",-5.39207118230846
"MG21.patient","Ruminococcus",-5.88501031694203
"MG22.patient","Ruminococcus",-4.52348005173438
"MG23.patient","Ruminococcus",-2.05467021075512
"MG25.patient","Ruminococcus",-4.32128164261734
"MG3.patient","Ruminococcus",-2.24024632544437
"MG4.patient","Ruminococcus",-1.61036699372097
"MG6.patient","Ruminococcus",-1.60873188115827
"MG8.patient","Ruminococcus",-3.42709303003314
"MG1.patient","Unclassified_Ruminococcaceae",-4.28943526106668
"MG10.patient","Unclassified_Ruminococcaceae",-4.30881725501381
"MG13.patient","Unclassified_Ruminococcaceae",-1.98268760086275
"MG14.patient","Unclassified_Ruminococcaceae",-2.24206371634247
"MG16.patient","Unclassified_Ruminococcaceae",0.512979089504146
"MG17.patient","Unclassified_Ruminococcaceae",-3.29109011016589
"MG19.patient","Unclassified_Ruminococcaceae",-0.928984574589185
"MG2.patient","Unclassified_Ruminococcaceae",-3.40646916276523
"MG21.patient","Unclassified_Ruminococcaceae",-3.06871690634985
"MG22.patient","Unclassified_Ruminococcaceae",-2.28737567874939
"MG23.patient","Unclassified_Ruminococcaceae",-1.42565574476196
"MG25.patient","Unclassified_Ruminococcaceae",-0.741201188102554
"MG3.patient","Unclassified_Ruminococcaceae",1.40569637852763
"MG4.patient","Unclassified_Ruminococcaceae",4.19952310704718
"MG6.patient","Unclassified_Ruminococcaceae",-2.45618249759633
"MG8.patient","Unclassified_Ruminococcaceae",-4.73687883310114
"MG1.patient","Lachnospiracea_incertae_sedis",-5.13452859914067
"MG10.patient","Lachnospiracea_incertae_sedis",-39.2073324743969
"MG13.patient","Lachnospiracea_incertae_sedis",-0.966756090524989
"MG14.patient","Lachnospiracea_incertae_sedis",-0.538833449475011
"MG16.patient","Lachnospiracea_incertae_sedis",-1.29928073601667
"MG17.patient","Lachnospiracea_incertae_sedis",-1.02908447264286
"MG19.patient","Lachnospiracea_incertae_sedis",-2.02232670078809
"MG2.patient","Lachnospiracea_incertae_sedis",-0.808449139060211
"MG21.patient","Lachnospiracea_incertae_sedis",-5.5744249558203
"MG22.patient","Lachnospiracea_incertae_sedis",-2.14840517903993
"MG23.patient","Lachnospiracea_incertae_sedis",-4.80552678768324
