".record.id","feature","l2fc"
"SB11.before.diet","Bacteroides",0.0673518418781738
"SB16.before.diet","Bacteroides",0.190772255222335
"SB18.before.diet","Bacteroides",1.82323755605386
"SB28.before.diet","Bacteroides",3.14981479186632
"SB29.before.diet","Bacteroides",1.5074990318847
"SB34.before.diet","Bacteroides",-0.0324070273407671
"SB36.before.diet","Bacteroides",0.679229950471577
"SB39.before.diet","Bacteroides",-0.436818434065681
"SB4.before.diet","Bacteroides",-0.065833507297632
"SB41.before.diet","Bacteroides",0.0134135811758437
"SB43.before.diet","Bacteroides",0.17822066659536
"SB44.before.diet","Bacteroides",8.23552411526812
"SB5.before.diet","Bacteroides",-0.532034920300998
"SB9.before.diet","Bacteroides",0.617220197446184
"SB11.before.diet","Prevotella",1.51593183323661
"SB16.before.diet","Prevotella",1.89365858099302
"SB18.before.diet","Prevotella",-3.22199172247372
"SB28.before.diet","Prevotella",0
"SB29.before.diet","Prevotella",33.9163128951757
"SB34.before.diet","Prevotella",0.607397567216296
"SB36.before.diet","Prevotella",-1.31431208761971
"SB39.before.diet","Prevotella",-32.2402873255432
"SB4.before.diet","Prevotella",-32.1077714530765
"SB41.before.diet","Prevotella",-1.3886024175558
"SB43.before.diet","Prevotella",3.29127229036675
"SB44.before.diet","Prevotella",-33.7019553141216
"SB5.before.diet","Prevotella",-6.29889443326453
"SB9.before.diet","Prevotella",-5.05820881902004
"SB11.before.diet","Parabacteroides",-2.13444973523436
"SB16.before.diet","Parabacteroides",-32.8084459272835
"SB18.before.diet","Parabacteroides",-2.90006484912475
"SB28.before.diet","Parabacteroides",-0.428246056288069
"SB29.before.diet","Parabacteroides",3.11750084927854
"SB34.before.diet","Parabacteroides",0
"SB36.before.diet","Parabacteroides",2.50475517233412
"SB39.before.diet","Parabacteroides",-0.00191959697646737
"SB4.before.diet","Parabacteroides",-33.4296995344457
"SB41.before.diet","Parabacteroides",1.1963600443047
"SB43.before.diet","Parabacteroides",3.16705307124343
"SB44.before.diet","Parabacteroides",0
"SB5.before.diet","Parabacteroides",-0.330722714183471
"SB9.before.diet","Parabacteroides",0.225120728605516
"SB11.before.diet","Faecalibacterium",-1.92558526165486
"SB16.before.diet","Faecalibacterium",-4.19379047872235
"SB18.before.diet","Faecalibacterium",-7.82648654377889
"SB28.before.diet","Faecalibacterium",-39.2984509935621
"SB29.before.diet","Faecalibacterium",38.5601496433332
"SB34.before.diet","Faecalibacterium",1.08434297495261
"SB36.before.diet","Faecalibacterium",1.15148369514677
"SB39.before.diet","Faecalibacterium",-1.1627195485131
"SB4.before.diet","Faecalibacterium",2.47673125358357
