".record.id","DietStatus","feature","index"
"SM1","before.diet","N_8",7.34057756340806
"SM11","after.diet","N_8",5.41980016257799
"SM12","before.diet","N_8",5.17418822929294
"SM13","before.diet","N_8",4.85081438400468
"SM14","before.diet","N_8",2.97434379657238
"SM17","before.diet","N_8",4.8088388110974
"SM19","after.diet","N_8",4.08319356209474
"SM2","before.diet","N_8",2.75690674187138
"SM23","after.diet","N_8",1.48004164376258
"SM3","after.diet","N_8",9.48507079832632
"SM33","before.diet","N_8",2.32742388625103
"SM38","after.diet","N_8",4.22188405178335
"SM41","before.diet","N_8",7.24779247947115
"SM45","after.diet","N_8",1.00327278478273
"SM49","before.diet","N_8",6.42746935542742
"SM52","before.diet","N_8",9.7118611310344
"SM53","after.diet","N_8",5.06860255150606
"SM56","after.diet","N_8",1.5818551094866
"SM57","before.diet","N_8",2.96413454808711
"SM58","after.diet","N_8",2.36533570910786
"SM62","before.diet","N_8",2.04514258004815
"SM64","after.diet","N_8",3.31564089793142
"SM77","after.diet","N_8",6.18514097689119
"SM79","after.diet","N_8",4.30507573300825
"SM8","before.diet","N_8",4.25072058957818
"SM83","before.diet","N_8",5.27600926890054
"SM84","before.diet","N_8",10.5622802611307
"SM86","after.diet","N_8",4.23440251395452
"SM87","before.diet","N_8",6.50945546432214
"SM88","after.diet","N_8",6.76060044734477
"SM9","after.diet","N_8",6.00871318289738
"SM90","after.diet","N_8",11.0176710253557
"SM96","before.diet","N_8",2.42820328442739
