"feature","Drug.Before.Diet","mean","sd","median","incidence"
"N_0","DrugBefore_NO",0.159326798976322,0.532883907854154,0.273526381633099,0.5
"N_0","DrugBefore_YES",0.243459323067844,0.641427308812558,0.0544554453074202,0.5
"N_0.25","DrugBefore_NO",0.142330567247814,0.882101452660235,0.35777449424751,0.5
"N_0.25","DrugBefore_YES",0.258778776999613,0.736407403650904,0.0415688605032656,0.5
"N_0.5","DrugBefore_NO",0.124465553978168,1.28872689603056,0.423737302401975,0.5
"N_0.5","DrugBefore_YES",0.180350706655842,0.695477726946194,0.0314592749407985,0.5
"NE_8","DrugBefore_NO",0.145717323135576,0.887789735436051,0.117863973247509,0.5
"NE_8","DrugBefore_YES",-0.445847246475415,0.805881176582182,-0.359544292060361,0.3
"NE_Inf","DrugBefore_NO",0.108648749965262,0.718163143792319,0.0691068371962853,0.5
"NE_Inf","DrugBefore_YES",-0.423485200271607,0.761871242738522,-0.346286713710168,0.3
"N_1","DrugBefore_NO",0.187036890372427,1.7590349897236,0.468651078683659,0.5
"N_1","DrugBefore_YES",-0.0611465815525959,0.676073654646399,0.0242347086081969,0.6
"NE_4","DrugBefore_NO",0.167814431848256,1.04561379384587,0.157913621116368,0.5
"NE_4","DrugBefore_YES",-0.453767027059888,0.85778192482392,-0.376379714791916,0.4
"N_4","DrugBefore_NO",0.329215593711944,1.57137596647615,0.439492515142826,0.5
"N_4","DrugBefore_YES",-0.202477587297492,0.670382990179399,-0.115489486091313,0.4
"NE_2","DrugBefore_NO",0.142479078910471,1.24245890771502,0.18440439871507,0.5
"NE_2","DrugBefore_YES",-0.433259467450255,0.905520762442039,-0.395433282325527,0.4
"N_8","DrugBefore_NO",0.307130058824607,1.40883474333989,0.399280686653643,0.5
"N_8","DrugBefore_YES",-0.194506993608681,0.601931003498248,-0.135116043093422,0.4
"N_2","DrugBefore_NO",0.304336091808318,1.77826122617653,0.46635849828682,0.5
"N_2","DrugBefore_YES",-0.181850180834522,0.738824256750413,-0.0446942070500299,0.4
"N_Inf","DrugBefore_NO",0.270129960050694,1.23675172105316,0.350516475486644,0.5
"N_Inf","DrugBefore_YES",-0.172229181296529,0.528258344136349,-0.118217933855827,0.4
"NE_0.5","DrugBefore_NO",-0.0390661260132057,0.749710101485784,0.143854907661018,0.5
"NE_0.5","DrugBefore_YES",-0.0684669415560336,0.320559904816603,0.0252776444560288,0.6
"NE_0.25","DrugBefore_NO",-0.0196233873403413,0.347743498972568,0.080909020838967,0.5
"NE_0.25","DrugBefore_YES",0.0130060239571923,0.159392712217137,0.0143736488475323,0.6
"NE_1","DrugBefore_NO",0.0237742880092164,1.21537075070805,0.186382246008293,0.5
"NE_1","DrugBefore_YES",-0.312621252300837,0.722565810988266,-0.209262333964052,0.5
