".record.id","DietStatus","feature","index"
"SM1","before.diet","NE_1",0.191401913623226
"SM11","after.diet","NE_1",0.197019712392637
"SM12","before.diet","NE_1",0.186309261134219
"SM13","before.diet","NE_1",0.166343007704259
"SM14","before.diet","NE_1",0.119534826738472
"SM17","before.diet","NE_1",0.150192589564722
"SM19","after.diet","NE_1",0.198445471006407
"SM2","before.diet","NE_1",0.10626240564445
"SM23","after.diet","NE_1",0.0948846080886626
"SM3","after.diet","NE_1",0.256466878146272
"SM33","before.diet","NE_1",0.131137374669411
"SM38","after.diet","NE_1",0.194510721485371
"SM41","before.diet","NE_1",0.226969915386694
"SM45","after.diet","NE_1",0.443511222895306
"SM49","before.diet","NE_1",0.160886034474745
"SM52","before.diet","NE_1",0.198868032101767
"SM53","after.diet","NE_1",0.186403780423701
"SM56","after.diet","NE_1",0.0792898029728261
"SM57","before.diet","NE_1",0.104393751380988
"SM58","after.diet","NE_1",0.115282770562944
"SM62","before.diet","NE_1",0.155252481101078
"SM64","after.diet","NE_1",0.130594980819643
"SM77","after.diet","NE_1",0.219520743993537
"SM79","after.diet","NE_1",0.155281045933061
"SM8","before.diet","NE_1",0.197095311887785
"SM83","before.diet","NE_1",0.140162683047389
"SM84","before.diet","NE_1",0.310650260059908
"SM86","after.diet","NE_1",0.187409430357848
"SM87","before.diet","NE_1",0.255382780380944
"SM88","after.diet","NE_1",0.175511341435203
"SM9","after.diet","NE_1",0.249079925509852
"SM90","after.diet","NE_1",0.283423874716899
"SM96","before.diet","NE_1",0.109968382586996
