"feature","Sample.type","mean","sd","median","incidence"
"Bacteroidales","control",0.511831716423695,0.239472449120345,0.535188928664473,0.944444444444444
"Bacteroidales","patient",0.740991619904356,0.239865526917835,0.824990730441231,1
"Clostridiales","control",0.347568406154579,0.174597715322447,0.320168290402569,1
"Clostridiales","patient",0.15727984812943,0.143409718656136,0.103847745138602,1
"Erysipelotrichales","control",0.0101642918026864,0.0165500711279248,0.0047209248599066,0.944444444444444
"Erysipelotrichales","patient",0.0264272890442619,0.0794430587018678,0.00844529750479846,0.91304347826087
"Enterobacteriales","control",0.0179381743147954,0.0724348330727378,0.000414093378564141,0.722222222222222
"Enterobacteriales","patient",0.0177481588287819,0.0568163803431699,0,0.478260869565217
"Lactobacillales","control",0.019331222509295,0.0475537553342733,0.00113684312096452,0.944444444444444
"Lactobacillales","patient",0.0134357190571086,0.0415706007104439,0.000786782061369001,0.869565217391304
"Selenomonadales","control",0.0232541217771173,0.0524735560234975,0.00239871427669161,0.944444444444444
"Selenomonadales","patient",0.00614228795150503,0.0130033991548841,0.00151336808474861,0.91304347826087
"Unclassified_Bacteria","control",0.0143963087527111,0.0119316114996566,0.012725193089993,1
"Unclassified_Bacteria","patient",0.00858634024282161,0.0185046670800913,0.00365755377843903,0.956521739130435
"Burkholderiales","control",0.0119063168553458,0.0276456188570306,0.00216697178989527,0.833333333333333
"Burkholderiales","patient",0.00907665736963706,0.0145732638740079,0.00180886343081097,0.782608695652174
"Bifidobacteriales","control",0.0150614138750388,0.0444126125909442,0.00188881045637105,0.833333333333333
"Bifidobacteriales","patient",0.0017907298718378,0.00469900217139432,0.000301477238468496,0.652173913043478
"Verrucomicrobiales","control",0.0034468919007395,0.00665686403519065,0,0.388888888888889
"Verrucomicrobiales","patient",0.0105567272659478,0.0368540880165932,0,0.347826086956522
"Unclassified_Firmicutes","control",0.00850278336210577,0.0108881451048858,0.00383077196032633,1
"Unclassified_Firmicutes","patient",0.00242860945308373,0.00339607512550795,0.00084100566572238,0.869565217391304
"Rhizobiales","control",0.00600448824210348,0.00577117552494445,0.00495633298070415,0.888888888888889
"Rhizobiales","patient",0.00180490922760381,0.00305769082251354,0.000301477238468496,0.565217391304348
